My帳票アドバンス,,,2026年5月18日(Mon) 18:06
レイアウト [ 0004：claude取り込み用 ]
実績期間 [ 2026年04月01日 ～ 2026年04月30日 ]
複数タグカウント [ する ]
日付基準 [ 預り日 ]

"","0001：本店","","","","","","","","","","","","","","","0002：東川口店","","","","","","","","","","","","","","","0003：新田店","","","","","","","","","","","","","","","0004：西友蒲生伊原店","","","","","","","","","","","","","","","0006：草加西口店","","","","","","","","","","","","","","","0008：蒲生店","","","","","","","","","","","","","","","0009：東川口2号店","","","","","","","","","","","","","","","0101：モールプラザ草加","","","","","","","","","","","","","","",""
"","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","客数","客数前年比","新規数","新規前年比","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","客数","客数前年比","新規数","新規前年比","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","客数","客数前年比","新規数","新規前年比","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","客数","客数前年比","新規数","新規前年比","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","客数","客数前年比","新規数","新規前年比","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","客数","客数前年比","新規数","新規前年比","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","客数","客数前年比","新規数","新規前年比","売上額","昨年実績","ドライ点数","ワイシャツ点数","ロット外・外注点数","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","客数","客数前年比","新規数","新規前年比",""
"2026年04月01日（水）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2026年04月02日（木）","83,610","0","73","43","17","121","0","0","3","0","621","36","0","3","0","26,605","0","21","4","5","25","0","0","3","0","887","13","0","2","0","19,954","0","26","10","0","36","0","0","0","0","554","7","0","1","0","72,883","0","31","12","21","53","11","0","0","0","1,139","18","0","1","0","77,804","0","71","43","16","108","0","0","10","2","525","31","0","10","0","37,275","0","69","20","14","85","0","0","2","0","303","26","0","1","0","50,575","0","35","9","14","34","0","0","5","0","872","15","0","3","0","33,309","0","34","17","9","43","17","0","0","0","565","15","0","0","0",""
"2026年04月03日（金）","213,895","48,901","197","49","24","224","0","0","14","0","764","55","16","4","1","79,015","63,564","88","44","5","119","0","0","10","0","577","37","20","2","0","96,130","11,547","69","17","21","97","0","0","6","0","898","28","7","4","1","106,602","29,726","86","17","14","84","33","0","0","0","911","29","14","1","1","170,511","68,997","165","33","10","140","0","0","21","7","812","47","22","7","3","77,733","29,854","42","29","15","80","0","0","2","0","854","25","17","0","1","111,132","50,160","90","17","14","61","0","0","17","0","909","30","12","8","1","90,503","109,828","95","9","9","80","36","0","0","0","801","31","18","8","5",""
"2026年04月04日（土）","284,642","172,429","268","171","30","419","0","0","19","1","595","97","55","6","1","136,293","55,540","101","65","11","150","0","0","8","2","770","31","28","2","3","123,407","82,395","119","80","7","176","0","0","12","0","599","46","24","3","2","142,330","64,094","121","31","32","135","46","3","0","0","774","40","21","1","0","205,407","133,503","177","186","17","340","0","0","16","0","536","89","46","8","5","132,181","41,339","113","104","20","211","0","0","8","0","534","62","26","5","1","109,085","178,181","89","78","12","131","0","0","16","1","574","37","27","2","3","100,338","92,758","64","53","11","101","22","1","0","0","784","31","34","1","3",""
"2026年04月05日（日）","404,017","304,460","324","105","60","412","0","0","25","1","828","99","95","3","1","86,531","103,248","68","48","10","106","0","0","6","4","599","26","49","1","4","91,934","148,046","82","40","17","108","0","0","11","0","661","38","55","4","5","135,456","87,996","136","35","17","146","42","0","0","0","724","38","47","4","2","241,674","252,285","146","67","27","200","0","0","15","0","982","60","88","9","3","100,930","110,073","79","63","26","144","0","0","7","0","525","37","54","1","3","142,137","239,772","68","53","15","80","0","0","15","5","983","31","56","2","5","166,896","145,197","89","36","22","101","42","4","0","0","1,143","40","40","5","3",""
"2026年04月06日（月）","116,699","380,806","66","22","18","74","0","0","6","10","1,101","28","86","0","5","36,999","87,267","30","27","3","49","0","0","5","2","597","17","22","2","0","59,298","125,979","32","25","7","54","0","0","4","0","927","15","37","2","2","98,637","58,758","68","7","13","53","35","0","0","0","1,121","29","28","1","1","70,683","247,627","65","11","13","71","0","0","7","1","794","26","67","6","6","42,168","115,070","27","25","12","56","0","0","2","0","551","23","46","0","4","53,353","203,307","44","15","9","50","0","0","6","0","785","16","41","2","6","82,681","87,162","71","18","19","76","32","0","0","0","766","20","22","2","2",""
"2026年04月07日（火）","0","65,904","0","0","0","0","0","0","0","0","0","0","20","0","1","0","25,500","0","0","0","0","0","0","0","0","0","0","14","0","0","0","18,600","0","0","0","0","0","0","0","0","0","0","6","0","0","0","35,021","0","0","0","0","0","0","0","0","0","0","17","0","1","0","81,301","0","0","0","0","0","0","0","0","0","0","28","0","3","0","82,176","0","0","0","0","0","0","0","0","0","0","24","0","3","0","18,143","0","0","0","0","0","0","0","0","0","0","13","0","0","0","15,178","0","0","0","0","0","0","0","0","0","0","5","0","0",""
"2026年04月08日（水）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2026年04月09日（木）","125,863","0","84","40","21","125","0","0","12","0","874","39","0","2","0","82,131","0","48","34","8","70","0","0","8","0","923","26","0","0","0","40,792","0","23","9","6","33","0","0","4","0","1,073","12","0","1","0","72,596","0","63","16","20","59","40","0","0","0","741","27","0","2","0","112,188","0","81","18","21","95","0","0","10","0","616","26","0","4","0","60,757","0","43","22","14","68","0","0","6","1","740","21","0","1","0","85,363","0","40","27","17","58","0","0","9","1","1,054","23","0","3","0","33,338","0","10","17","4","26","3","0","0","0","1,111","11","0","0","0",""
