My帳票アドバンス,,,2026年5月18日(Mon) 18:14
レイアウト [ 0004：claude取り込み用 ]
実績期間 [ 2026年04月01日 ～ 2026年04月30日 ]
複数タグカウント [ する ]
日付基準 [ 預り日 ]

"","0001：本店","","","","","","","","","","","","","","","","","","0002：東川口店","","","","","","","","","","","","","","","","","","0003：新田店","","","","","","","","","","","","","","","","","","0004：西友蒲生伊原店","","","","","","","","","","","","","","","","","","0006：草加西口店","","","","","","","","","","","","","","","","","","0008：蒲生店","","","","","","","","","","","","","","","","","","0009：東川口2号店","","","","","","","","","","","","","","","","","","0101：モールプラザ草加","","","","","","","","","","","","","","","","","",""
"","売上額","昨年実績","ドライ点数","ドライ点数（昨年）","ワイシャツ点数","ﾜｲｼｬﾂ点数（昨年）","ロット外・外注点数","ﾛｯﾄ外点数（昨年）","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","客数","客数前年比","新規数","新規前年比","売上額","昨年実績","ドライ点数","ドライ点数（昨年）","ワイシャツ点数","ﾜｲｼｬﾂ点数（昨年）","ロット外・外注点数","ﾛｯﾄ外点数（昨年）","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","客数","客数前年比","新規数","新規前年比","売上額","昨年実績","ドライ点数","ドライ点数（昨年）","ワイシャツ点数","ﾜｲｼｬﾂ点数（昨年）","ロット外・外注点数","ﾛｯﾄ外点数（昨年）","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","客数","客数前年比","新規数","新規前年比","売上額","昨年実績","ドライ点数","ドライ点数（昨年）","ワイシャツ点数","ﾜｲｼｬﾂ点数（昨年）","ロット外・外注点数","ﾛｯﾄ外点数（昨年）","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","客数","客数前年比","新規数","新規前年比","売上額","昨年実績","ドライ点数","ドライ点数（昨年）","ワイシャツ点数","ﾜｲｼｬﾂ点数（昨年）","ロット外・外注点数","ﾛｯﾄ外点数（昨年）","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","客数","客数前年比","新規数","新規前年比","売上額","昨年実績","ドライ点数","ドライ点数（昨年）","ワイシャツ点数","ﾜｲｼｬﾂ点数（昨年）","ロット外・外注点数","ﾛｯﾄ外点数（昨年）","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","客数","客数前年比","新規数","新規前年比","売上額","昨年実績","ドライ点数","ドライ点数（昨年）","ワイシャツ点数","ﾜｲｼｬﾂ点数（昨年）","ロット外・外注点数","ﾛｯﾄ外点数（昨年）","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","客数","客数前年比","新規数","新規前年比","売上額","昨年実績","ドライ点数","ドライ点数（昨年）","ワイシャツ点数","ﾜｲｼｬﾂ点数（昨年）","ロット外・外注点数","ﾛｯﾄ外点数（昨年）","レギュラーコース","スタンダードコース","プレミアムコース","デリケートコース","ブランドコース","１点単価","客数","客数前年比","新規数","新規前年比",""
"2026年04月01日（水）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2026年04月02日（木）","83,610","0","73","0","43","0","17","0","121","0","0","3","0","621","36","0","3","0","26,605","0","21","0","4","0","5","0","25","0","0","3","0","887","13","0","2","0","19,954","0","26","0","10","0","0","0","36","0","0","0","0","554","7","0","1","0","72,883","0","31","0","12","0","21","0","53","11","0","0","0","1,139","18","0","1","0","77,804","0","71","0","43","0","16","0","108","0","0","10","2","525","31","0","10","0","37,275","0","69","0","20","0","14","0","85","0","0","2","0","303","26","0","1","0","50,575","0","35","0","9","0","14","0","34","0","0","5","0","872","15","0","3","0","33,309","0","34","0","17","0","9","0","43","17","0","0","0","565","15","0","0","0",""
"2026年04月03日（金）","213,895","48,901","197","41","49","27","24","0","224","0","0","14","0","764","55","16","4","1","79,015","63,564","88","21","44","33","5","1","119","0","0","10","0","577","37","20","2","0","96,130","11,547","69","10","17","10","21","0","97","0","0","6","0","898","28","7","4","1","106,602","29,726","86","25","17","9","14","3","84","33","0","0","0","911","29","14","1","1","170,511","68,997","165","48","33","23","10","5","140","0","0","21","7","812","47","22","7","3","77,733","29,854","42","30","29","12","15","1","80","0","0","2","0","854","25","17","0","1","111,132","50,160","90","17","17","25","14","4","61","0","0","17","0","909","30","12","8","1","90,503","109,828","95","64","9","22","9","2","80","36","0","0","0","801","31","18","8","5",""
"2026年04月04日（土）","284,642","172,429","268","153","171","66","30","5","419","0","0","19","1","595","97","55","6","1","136,293","55,540","101","61","65","38","11","1","150","0","0","8","2","770","31","28","2","3","123,407","82,395","119","74","80","26","7","3","176","0","0","12","0","599","46","24","3","2","142,330","64,094","121","66","31","4","32","7","135","46","3","0","0","774","40","21","1","0","205,407","133,503","177","130","186","57","17","5","340","0","0","16","0","536","89","46","8","5","132,181","41,339","113","55","104","25","20","12","211","0","0","8","0","534","62","26","5","1","109,085","178,181","89","87","78","18","12","7","131","0","0","16","1","574","37","27","2","3","100,338","92,758","64","68","53","44","11","5","101","22","1","0","0","784","31","34","1","3",""
"2026年04月05日（日）","404,017","304,460","324","279","105","151","60","15","412","0","0","25","1","828","99","95","3","1","86,531","103,248","68","91","48","108","10","9","106","0","0","6","4","599","26","49","1","4","91,934","148,046","82","165","40","75","17","9","108","0","0","11","0","661","38","55","4","5","135,456","87,996","136","102","35","59","17","3","146","42","0","0","0","724","38","47","4","2","241,674","252,285","146","158","67","163","27","10","200","0","0","15","0","982","60","88","9","3","100,930","110,073","79","76","63","116","26","9","144","0","0","7","0","525","37","54","1","3","142,137","239,772","68","122","53","90","15","11","80","0","0","15","5","983","31","56","2","5","166,896","145,197","89","115","36","56","22","6","101","42","4","0","0","1,143","40","40","5","3",""
"2026年04月06日（月）","116,699","380,806","66","251","22","133","18","19","74","0","0","6","10","1,101","28","86","0","5","36,999","87,267","30","46","27","40","3","4","49","0","0","5","2","597","17","22","2","0","59,298","125,979","32","94","25","45","7","12","54","0","0","4","0","927","15","37","2","2","98,637","58,758","68","51","7","52","13","5","53","35","0","0","0","1,121","29","28","1","1","70,683","247,627","65","141","11","131","13","22","71","0","0","7","1","794","26","67","6","6","42,168","115,070","27","85","25","76","12","3","56","0","0","2","0","551","23","46","0","4","53,353","203,307","44","87","15","89","9","17","50","0","0","6","0","785","16","41","2","6","82,681","87,162","71","47","18","33","19","2","76","32","0","0","0","766","20","22","2","2",""
"2026年04月07日（火）","0","65,904","0","33","0","20","0","6","0","0","0","0","0","0","0","20","0","1","0","25,500","0","27","0","26","0","5","0","0","0","0","0","0","0","14","0","0","0","18,600","0","3","0","18","0","0","0","0","0","0","0","0","0","6","0","0","0","35,021","0","33","0","16","0","5","0","0","0","0","0","0","0","17","0","1","0","81,301","0","43","0","51","0","4","0","0","0","0","0","0","0","28","0","3","0","82,176","0","73","0","25","0","4","0","0","0","0","0","0","0","24","0","3","0","18,143","0","19","0","6","0","4","0","0","0","0","0","0","0","13","0","0","0","15,178","0","7","0","14","0","1","0","0","0","0","0","0","0","5","0","0",""
"2026年04月08日（水）","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2026年04月09日（木）","125,863","0","84","0","40","0","21","0","125","0","0","12","0","874","39","0","2","0","82,131","0","48","0","34","0","8","0","70","0","0","8","0","923","26","0","0","0","40,792","0","23","0","9","0","6","0","33","0","0","4","0","1,073","12","0","1","0","72,596","0","63","0","16","0","20","0","59","40","0","0","0","741","27","0","2","0","112,188","0","81","0","18","0","21","0","95","0","0","10","0","616","26","0","4","0","60,757","0","43","0","22","0","14","0","68","0","0","6","1","740","21","0","1","0","85,363","0","40","0","27","0","17","0","58","0","0","9","1","1,054","23","0","3","0","33,338","0","10","0","17","0","4","0","26","3","0","0","0","1,111","11","0","0","0",""
