ファンクションマスタ(DUKE310)保守,,,,作成日：2026年6月12日(Fri) 18:36,,,,,,,
店舗 [ 0001：本店 ],,,,,,,,,,,
種類 [ ﾕｰｻﾞｰﾌｧﾝｸｼｮﾝすべて ],,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
コード,名称,フリガナ,作業区分,仕上加算,数値,ランク,P対象,P倍率,値下,収納区分,洗い区分
0004,撥水加工,ﾊｯｽｲｶｺｳ,加算,2日,500円,,商品参照,1.00倍,対象,81：撥水加工,
0005,撥水加工,ﾊｯｽｲｶｺｳ,加算,2日,800円,,商品参照,1.00倍,対象,81：撥水加工,
0006,撥水加工,ﾊｯｽｲｶｺｳ,加算,2日,1200円,,商品参照,1.00倍,対象,81：撥水加工,
0007,汗抜き加工,ｱｾﾇｷｶｺｳ,加算,2日,500円,,商品参照,1.00倍,対象,80：汗抜き加工,
0008,汗抜き加工,ｱｾﾇｷｶｺｳ,加算,2日,800円,,商品参照,1.00倍,対象,80：汗抜き加工,
0009,汗抜き加工,ｱｾﾇｷｶｺｳ,加算,2日,1200円,,商品参照,1.00倍,対象,80：汗抜き加工,
0010,防虫加工,ﾎﾞｳﾁｭｳｶｺｳ,加算,2日,500円,,商品参照,1.00倍,対象,82：防虫加工,
0011,防虫加工,ﾎﾞｳﾁｭｳｶｺｳ,加算,2日,800円,,商品参照,1.00倍,対象,82：防虫加工,
0012,防虫加工,ﾎﾞｳﾁｭｳｶｺｳ,加算,2日,1200円,,商品参照,1.00倍,対象,82：防虫加工,
0013,ｼﾐ抜き300,ｼﾐﾇｷ300,加算,2日,300円,,対象外,1.00倍,対象,86：特殊ｼﾐ抜き,
0014,ｼﾐ抜き600,ｼﾐﾇｷ600,加算,2日,600円,,対象外,1.00倍,対象,86：特殊ｼﾐ抜き,
0015,ｼﾐ抜き900,ｼﾐﾇｷ900,加算,2日,900円,,対象外,1.00倍,対象,86：特殊ｼﾐ抜き,
0016,ｼﾐ抜き1200,ｼﾐﾇｷ1200,加算,2日,1200円,,対象外,1.00倍,対象,86：特殊ｼﾐ抜き,
0017,ｼﾐ抜き1500,ｼﾐﾇｷ1500,加算,2日,1500円,,対象外,1.00倍,対象,86：特殊ｼﾐ抜き,
0018,ｼﾐ抜き1800,ｼﾐﾇｷ1800,加算,2日,1800円,,対象外,1.00倍,対象,86：特殊ｼﾐ抜き,
0019,折り目(ｼﾛｾｯﾄ),ｵﾘﾒｼﾛｾｯﾄ,加算,2日,1300円,,商品参照,1.00倍,対象,86：特殊ｼﾐ抜き,
