物販マスタ一覧－店舗：0001 本店,,,,,,,作成日：2026年6月12日(Fri) 18:28

 No.,コード,物販ｺｰﾄﾞ,名称,フリガナ,価格1,価格2,価格3,価格4,価格5,価格6,会員価格1,会員価格2,会員価格3,会員価格4,会員価格5,会員価格6,特別会員価格1,特別会員価格2,特別会員価格3,特別会員価格4,特別会員価格5,特別会員価格6,商品分類ｺｰﾄﾞ,商品分類名称,消費税区分,税コード,税名称,特価対象,値下対象,ポイント対象,顧客分析対象,ポイント倍率,追加ポイントファンクションコード,クーポンID
1,"0001","0000000000001","箱入り娘","ﾊｺｲﾘﾑｽﾒ",10000,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,"95","保管","外税","01","外税","×","○","×","○",1.00,,""
2,"0002","0000000000002","御曹司","ｵﾝｿﾞｳｼ",6000,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,"95","保管","外税","01","外税","×","○","×","○",1.00,,""
3,"0003","9999999999998","その他","ｿﾉﾀ",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,"99","その他","外税","01","外税","×","×","×","○",1.00,,""
4,"0004","0000000000005","保管料金","ﾎｶﾝ",1500,1500,1500,0,0,0,1500,1500,1500,0,0,0,1500,1500,1500,0,0,0,"95","保管","外税","01","外税","○","○","○","○",1.00,,""
5,"0005","0000000000007","ｴﾈﾛｸﾘｰﾝ  M-1","ｴﾈﾛｸﾘｰﾝ",453,453,453,0,0,0,453,453,453,0,0,0,453,453,453,0,0,0,"98","販売品","外税","01","外税","×","×","×","○",1.00,,""
6,"0006","0000000000006","みわバッグ","ﾐﾜﾊﾞｯｸﾞ",400,0,0,0,0,0,400,0,0,0,0,0,400,0,0,0,0,0,"98","販売品","外税","01","外税","○","○","○","○",1.00,,""
7,"0007","0000000000010","靴 携帯ｸﾘｰﾅｰ","ｸﾂｹｲﾀｲｸﾘｰﾅｰ",300,300,300,0,0,0,300,300,300,0,0,0,300,300,300,0,0,0,"98","販売品","外税","01","外税","×","×","×","○",1.00,,""
8,"0008","0000000000008","ｴﾈﾛｸﾘｰﾝ  M-2","ｴﾈﾛｸﾘｰﾝ",800,800,800,0,0,0,800,800,800,0,0,0,800,800,800,0,0,0,"98","販売品","外税","01","外税","×","×","×","○",1.00,,""
9,"0009","0000000000009","販売品","ﾊﾝﾊﾞｲﾋﾝ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"98","販売品","外税","01","外税","×","×","×","○",1.00,,""
10,"0010","0000099999999","BOX会員 入会金","ﾆｭｳｶｲｷﾝ",1000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,"99","その他","内税","02","内税","×","×","×","○",1.00,,""
11,"0011","0000000000011","ﾚｻﾞｰ ｸﾘｰﾝﾑｰｽ","ﾚｻﾞｰｸﾘｰﾝﾑｰｽ",2000,2000,2000,0,0,0,2000,2000,2000,0,0,0,2000,2000,2000,0,0,0,"98","販売品","外税","01","外税","×","×","×","○",1.00,,""
12,"0012","0000000000012","御曹司 弟","ｵﾝｿﾞｳｼｵﾄｳﾄ",3000,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,"95","保管","外税","01","外税","×","○","×","○",1.00,,""
13,"0013","0000000000041","ボトル","ﾎﾞﾄﾙ",300,300,300,0,0,0,300,300,300,0,0,0,300,300,300,0,0,0,"98","販売品","外税","01","外税","×","×","×","○",1.00,,""
14,"0014","0000000000042","ボトル","ﾎﾞﾄﾙ",100,100,100,0,0,0,100,100,100,0,0,0,100,100,100,0,0,0,"98","販売品","外税","01","外税","×","×","×","○",1.00,,""
